,release type,album name,name,lyric,link
14,EP,"""bandaids""",less of you,"HelloAre you awake right now?God, I just need to hear the sound of youPlease, calm me downAnd I know that it's selfish, butYou are the only thing that'sEver made sense to me, II don't wanna do thisI don't know how to do this without youCling to your sideVoices at nightCover my eyesI'm terrifiedNo in betweenA face on a screenAin't an adequate replacementFor you're being with meToo much time in the limelightGimme your all on the land lineWant it so bad but I won't lieAnd it just gets worse in the night timeNever stays for longAnd she's gone in the morningWhen you come homeI just got over being less of youWhen you leave meI'm in piecesMaybe it's better if we cut it looseTell me how your day wasNo, I'm not okayI don't know, I don't know, I don't knowI don't know, I don't know, I don't knowTime never moved so slowBed time, hit your phone upTell me where to go, where to goTell me where to go, where to goToo much time in the limelightGimme your all on the land lineWant it so bad but I won't lieAnd it just gets worse in the night timeNever stays for longAnd she's gone in the morningWhen you come homeI just got over being less of youWhen you leave meI'm in piecesMaybe it's better if we cut it looseI don't know how to do this without youI don't know, I don't know, I don't knowI don't know how to do this without youI don't know, I don't know, I don't knowI don't know how to do this without you",https://www.azlyrics.com/lyrics/keshi/lessofyou.html
15,EP,"""bandaids""",alright,"Said I'm alrightSaid I'm alright,Sa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightRemember when we sayin' all the same shitWish upon the stars that we made itGot too scared and didn't goWant so bad I went alonePray so hard for the make upAll the time spent couldn't save usGot too scared and didn't goWant so bad I went aloneSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightWith or without you I waited my whole lifeI could wait a little longerWith or without you I say that I'm alrightWe just grew apart for the same thingsBut I know we both want the same thingsYou don't wanna deal with the same thingsI don't wanna leave for the same things(For the same old things)Said I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightAnd if I was to blameI swear that I'll pick up the piecesYou say that you don't wanna keep emI'll leave one behind just in caseThrough all the mistakesI'm scared of the fact that you're leavingI know that we both had our reasonsBut I wish that you wanted to staySaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -rightSaid I'm alrightSaid I'm alrightSa-said I'm alright, -right, -right",https://www.azlyrics.com/lyrics/keshi/alright.html
16,EP,"""bandaids""",blue,"Impatient, just say itStill waitin', for another roundNew faces, I'm racin'On foot but I'll never make it homeSixth Street for the occasionCan't take all of the changesBlue moon, in different phasesBlue moon, in different placesThree hours, three months awayGone back but not the sameI don't want you to see meCause I'm not what I seemWhy was everyone leaving?Do we say what we mean?Got the 9 to 5 and the bloodlineBetter dress up for the date nightFor the date nightDon't hit my cellThere's an unknown number on my phoneI don't need your helpJust let me lay down on the floorI don't know myselfNot like the time I did beforeNo, noImpatient, just say itStill waitin', for another roundNew faces, I'm racin'On foot but I'll never make it homeSixth street for the occasionCan't take all of the changesBlue moon, in different phasesBlue moon, in different placesTear me to piecesI won't even feel itYou're not what I neededMove on with the seasonsImpatient, just say itStill waitin', for another roundNew faces, I'm racin'On foot but I'll never make it homeSixth street for the occasionCan't take all of the changesBlue moon, in different phasesBlue moon, in different places",https://www.azlyrics.com/lyrics/keshi/blue.html
17,EP,"""bandaids""",right here,"I think some words are overdueCould we just do it over?Can we just talk it out like friends,Because I need your shoulder?I know we ended on the wrong termsBut I said we're past itSo why you texting me with questionsYou don't gotta ask me, like:""I know it's random, how you been?Do you remember 'bout this band you said you listened to?When we were youngerWhen we were softerWhen we were all about each otherHope life is treating you betterBetter, better""Girl, what's with that?Yo, cut the act'Cause I don't got time for laughsNo, I do not want the pastBut if you are ever in needAnd God has you down on your kneesAnd you do not know who to beThen go on and come home to meBecause I'm hereIf you need me I'll be hereRight hereSaid I'm hereIf you need me I'll be hereRight here, ohAnd how you liking this new guy?I know you always want the new lifeI hope you taking care of you, likeThe way you cared for me in my timeSee you got yourself some new friendsNo, you don't need to go to HoustonYou got me thinking back about thenGirl, I wonder why you textingGirl, what's with that?Yo, cut the act'Cause I don't got time for laughsNo, I do not want the pastBut if you are ever in needAnd God has you down on your kneesAnd you do not know who to beThen go on and come home to meBecause I'm hereIf you need me I'll be hereRight hereSaid I'm hereIf you need me I'll be hereRight here, oh",https://www.azlyrics.com/lyrics/keshi/righthere.html
18,EP,"""bandaids""",bandaids,"You should have told meI don't know what to sayWhy are you sorryHow did it get this wayMy heart is brokenDown to my coreIt's not what I wantedI don't know what I want anymoreI'm afraidThat bandaidsAre no goodFor heartacheNot okaySo tell meWhen your world is falling downAfraid of falling downBut fire has started right behind meAnd if I don't jump nowI fear that I can't take the burningI can't hear a soundNothing that I say can hurt meDive into the groundI fear that I can't take the burningI'm afraidThat bandaidsAre no goodFor heartacheNot okaySo tell meWhen your world is falling downFriends of flowersFragile silenceStand beside youStop your cryingI'm afraidThat bandaidsAre no goodFor heartacheNot okaySo tell meWhen your world is falling down",https://www.azlyrics.com/lyrics/keshi/bandaids.html
19,EP,"""always""",always,"(One, two, one, two, three)(Lend me your ears)HeyWhere'd you go?Could've sworn that you were sleepin' overSayI don't knowBut I thought that we were starting overLike we always doLike we always doWas I a foolTo think that we always would(Yes or no, this is your last chance, no beating around the bush)GoneNot a traceAnd it's almost like it never happenedNoNot the sameGuess it hurt me more than I imaginedWe always doLike we always doWas I a foolTo think that we always wouldLike we always doLike we always doWas I a foolTo think that we always would",https://www.azlyrics.com/lyrics/keshi/always.html
20,EP,"""always""",more,"Said she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid I gotta get money, swear I still love youI don't wanna go but you know that I have toTouch road, gotta play showsCrowd go wild for the shit I wroteBut this shit so-so, lose controlGotta change up everything I knowBetter, run ways when you smell that smokeBetter, hold me when my head gon' blow likeHasta la vistaDying to see ya in a dream that I hadWhere I sing in arenasHasta la vistaDying to see yaBaby, it ain't so badWhen there's nothing between usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usGone so fast, all the bad habitsNot gon' last, better run back, kidJust so sad, worse than last yearJust might crash, just might crashJust mightEverybody left except for you and IShe don't want stories and lullabiesShe don't understand that it's do or dieSaid I can buy it all but it's all a lieNo trade for the things I lostNo train for the boy that stoppedRun ways into these arms of mineNo trade for the things I lostNo train for the boy that stoppedRun ways into these arms of mineSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want usSaid she want more, I'm not enoughGetting low and I think I'm giving upBaby, come home, I want usI want us, said I want us",https://www.azlyrics.com/lyrics/keshi/more.html
21,EP,"""always""",drunk,"All my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseAll my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseSmell like smokeNuit de l'hommeIt's been a while since we last spokeSo tell me, how's it go?Still love bluesNothing newCareless love, I've had a fewHow 'bout you?All my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseAll my friends are drunk againAnd I'm stumbling back to bed all by myselfDon't need nobody elseI never have thoughtWhen you're goneI'd find it hard to carry onAnd it's probably 'causeI fell in loveWay back thenAnd I think about us whenI think about us whenAll my friends are drunk againAnd I'm stumbling back to bed all by myselfI got nobody elseAll my friends are drunk againAnd I'm stumbling back to bed all by myselfI got, I got nobody else",https://www.azlyrics.com/lyrics/keshi/drunk.html
22,EP,"""always""",talk,"Baby ICan't decide INeed your guidanceI got nobody left to loseWhen I fall I turn to youAnd the world just got confusingAnd I think you need me tooShe want a night out, fucked up, don't know where to find yaDrive so fast and we runnin' red lightsNight out, fucked up, don't know where to find yaShit won't last but I wanna make rightSo can we talk for a minute, talk for a minuteSo can we talk for a minute, talk for a minuteMaybe we don't talk enough, talk (baby I)Maybe we don't talk enough, talk (can't decide I)Maybe we don't talk enough, talk (need your guidance)Maybe we don't talk like we used to, like we- like we used toTalk- enough, talkMaybe we don't talk enough talkMaybe we don't talk enough talkMaybe we don't talk like we used to, like we- like we used toShe got me runnin' round town, I surrender all of meOh my god, I'll give you anything you wantMaybe I forgot why you left in the first placeWay too many friends getting close-Got me runnin' round town, I surrender all of me (got nobody left to lose)Oh my god, I'll give you anything you want (when I fall I turn to you)Maybe I forgot why you left in the first place (and the world just got confusing)Way too many friends getting close on your birthday (and I think you need me too)So can we talk for a minute, talk for a minuteSo can we talk for a minute, talk for a minuteMaybe we don't talk enough, talk (baby I)Maybe we don't talk enough, talk (can't decide I)Maybe we don't talk enough, talk (need your guidance)Maybe we don't talk like we used to, like we- like we used toTalk- enough, talkMaybe we don't talk enough talkMaybe we don't talk enough talkMaybe we don't talk like we used to, like we- like we used to",https://www.azlyrics.com/lyrics/keshi/talk.html
23,EP,"""always""",B.Y.S.,"Said you tired of the distanceYou tired of the fake loveSay you don't really miss himBut I don't really blame yaDon't need nobody elseDon't need nobody help, mmmYou get it on your ownSo why you beside yourself?So afraid to give and take your pain(Know better but I pay no mindGet me inside 'fore I go one time)So afraid to give your love away(Know better but I pay no mindGet me inside 'fore I go one time)You don't gotta worry 'bout nothin'Baby girl, you know that I ain't leavingDon't cry, alrightDon't cry, alrightBaby, go make yo' mindBaby, go make yo' mind upSay it's gonna take some timeKeep me round by your side, yeahSay you wanna spend the nightThen you all undecidedBaby, go make yo' mindBaby, go make yo' mindSay you wanna talk til' the sunriseI don't really mind if we stayin' upSay you got work but it's alrightHope I make you feel a little betterSinging you love songsTell me I got you all wrongSo you can run awaySo afraid toGive and take your pain(Pull me close, love me notWhen you low, hit me up babe)So afraid toGive your love away(Take your clothes, love me lotsOn my phone, hit me up babe)You don't gotta worry bout nothin'Baby girl, you know that I ain't leavingDon't cry, alrightDon't cry, alrightBaby, go make yo' mindBaby, go make yo' mind upSay it's gonna take some timeKeep me round by your side yeahSay you wanna spend the nightThen you all undecidedBaby, go make yo' mindBaby, go make yo' mind",https://www.azlyrics.com/lyrics/keshi/bys.html
24,EP,"""always""",us,"Tell me nowIs that the soundOf all that we were buildingCrashing downAll around usAnd we never saw it comingMaybe we never make it throughSay that you give another youWell I won't take itOr maybe I will'Cause you never know until you doIf I had to guess I think it's youSo if I fake itWould it be trueMaybe we've beenA little too caught upIn things that don't matterAs much as we thoughtMaybe we've beenA little too guardedFrom things that have hurt usA bit more than we thoughtNothing moreThan love and warBut no one knows the differenceAll or noneCall to tell me thatI'm not the one you wantedMaybe we never make it throughSay that you give another youWell I won't take itMaybe I will'Cause you never know until you doIf I had to guess I think it's youSo if I fake itWould it be trueMaybe we've beenA little too caught upIn things that don't matterAs much as we thoughtMaybe we've beenA little too guardedFrom things that have hurt usA bit more than we thoughtUps and downsGoing steady when you're not aroundGo figureTell me nowIs that the sound of us?",https://www.azlyrics.com/lyrics/keshi/us.html
25,album,"""GABRIEL""",GET IT,"Gabriel, ca peut etre tout ce que tu veux, n'aie pas peur de tout vouloir il n'y a pas assez de temps pourBig ice, feelin' so fineShit is on me and we spendin' all night, come andGet it, get it, get it, get itGet it, get it, get itGot my bag right, on my own timeNow these bitches tongue tiedTryna get on this side, better come andGet it, get it, get it, get itGet it, get it, get it, get itParanoid, white noise, think they up to someCome and take more when they give you noneSee me doin' good why you reachin'?'Cause I got everything I ever neededGot my money (Check), lady (Check)Rollie (Check), mary (Check)From the southside with my dawgies on deckAnd we can't sit still less a chain on the neckGive me everything, trade you anything you wantAll this cash on me, doesn't matter what it costGive me everything, trade you anything you wantAll this cash on me, all-all this cash on meBig ice, feelin' so fineShit is on me and we spendin' all night, come andGet it, get it, get it, get itGet it, get it, get itGot my bag right, on my own timeNow these bitches tongue tiedTryna get on this side, better come andGet it, get it, get it, get itGet it, get it, get it, get itOohYou don't even know which one you areDo you?Havin' trouble tellin them apart",https://www.azlyrics.com/lyrics/keshi/getit.html
26,album,"""GABRIEL""",SOMEBODY,"Baby, why the hesitation?'Cause I know that you can feel it, tooYou want more and I can taste itLet me show you what I wanna doTryna get trapped in your leg lockGo another round, make the bed rockYeah, bite the neck, I'ma make it sweatNever give you no rest, never give you no restYou needed somebody, baby put it on meI can be that body, said, I can be that bodyYou needed somebody, baby put it on meI can be that body, said, I can be that, girlBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itBack it up girl, now you speakin' my languageShow me your favorite spots, but you don't gotta say it(Pull me close, hold it tight, let me go, through the night)Saddle up girl, why you keepin' me waitin'?Hold on, if you wanna get offIf you want love, we gon' make itYou needed somebody, baby put it on meI can be that body, said, I can be that bodyYou needed somebody, baby put it on meI can be that body, said, I can be that, girlBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itBaby it's you, baby it's you(Fuck around, put you down, get it loud, 'nother round)Baby it's you(You needed somebody, baby put it on me)Tell me where you want, tell, tell me where you want itPull me closePull me closeHold it tightPull me, pull me closePull me closePull me closeHold it tightPull me, pull me close",https://www.azlyrics.com/lyrics/keshi/somebody.html
